word,meaning
bilyakuq,Type of banana
binambang,Type of rice
binglad,Small grains of rice
bingut,Harelip
biniq,Bangus at stage of growth larger than biniq but smaller than adult
bino,See dictionary entry
binting,Centavo coin. binting walu coin. given as examples of obsolete
bintul,Net for catching crabs; use bintul
binyag,Seed; seedling; wine drink)taken by women as for difficulties or after giving birth; centavo coin. binting walu coin. given as examples of obsolete; net for catching crabs; use bintul; christening; baptism. baptismal ceremony; bap. ceremony; baptise someone; binyag have someone baptised
binyas,Large bones of limbs
biriya,See dictionary entry
biruq,Substance used for leaks in bancas; also used as for boils; joke. one teased; tease someone. biruq
bisagra,Want hinge; hinges
bisaq,See dictionary entry
bisita,Visitor; visitation; visit; bisita
bisitas,Chapel
bistu,Size something up
bisuguq,Kind of fish
bisyu,See dictionary entry
bitaul,See dictionary entry
bitbit,Carry with arm(s) hanging fully extended
bitin,Vice; hobby; custom; preoccupation; howling; bibitaul; carry with arm(s) hanging fully extended; hang oneself; python; squeeze someone
bitinan,Kind of basket; holder; railing
bitis,Farmer; place; wallowing hole; put in (e.g. balut); play with
bitki,See dictionary entry
bitri,Foot; feet; kind of rice
bitse/bitce,Swirl; sort rice from chaff by swirling in basket. bibitse
bituka,Bitunis/ butunis; be hurt in button(s); buttoned; has buttons
biyas,Segment of
biye,See dictionary entry
biyulin,See dictionary entry
bolabola,See dictionary entry
bolang,Life; live; alive; play dish of food consisting of fish or shaped into ball; stupid. bolangbolang; very; very stupid
bongabilya,Bouganvillea flower)
borles,Go naked; act borles; contributing to
bosis,Voice. one who has the voice as another; bosis listen to anothers voice (to establish
boti,See dictionary entry
botu,Go naked; act borles; contributing voice. one who has the voice as another; bosis listen to anothers voice (to establish; bottle; have plenty of bottles; vote. get someone to vote; botu vote for someone; can be elected; botu; motu; polling place; subject voted on
brad,Brother (new slang)
brasus,Upper arm; barasu
brek,See dictionary entry
britis,See dictionary entry
broca,See dictionary entry
bruha,See dictionary entry
buangin,Kind of soil; clay and sand.. (h)angin
bubu:yan,Kind of
bubung,Stop (the vehicle)!; take break; the British; brush; use brush; witch; ugly; be witch; act nasty; roof; fix roof; get the roof fixed; can fix roofs; apabubung already had roofed; roofed
bugaq,Strike with thrown object
bugbug,Gullet; monkey); stuff oneself; bud of fruit (coconut; or flower (sampagita; gumamela); joint; knuckle. out of joint; pregnant; buktut; separated; live apart; aibukud; lump; swelling boil (on skin). bukul has lumps; bukul; strike with thrown object; bruise; bruise someone; bruised
bugin,Bamboo; thornless variety
bugnus,Spent; expended
bugtung,Riddle. riddle contest; bugtung ayanak only child; make riddles; ask each other riddles
bugtuq,Gasping (the manner of breathing of one near death)
buguk,Going crazy. (h)angin; clay soil.. (h)iya; sparkplug
buis,Rent; revenue
bukakaq,Open; unfurled
bukal,Boil. bubuka; binukal; bumukal sprout; give one lump; boil something thoroughly
bukas,Next day; until the next day; held (e.g.) busy overnight
bukayuq,See dictionary entry
