word,meaning
dalum,Grind; pound; daraldak; daldak; okay; wall; dalig; chant; song; dadalit sing; dalit; visitor; especially an unexpected visitor; dumalo; dinalo; dalo; lawsuit; complaint; dalum; dalumdum; darkness; dark
dalyawat,Pimple(s)
dam,Borrow; raman
damara,Shade; grove; arbor
damas,Bridesmaid
damdam,Hear; listen. dimdam; sensitive; feelings
dame,Oneself; sympathize. dadame; diname; one you sympathize with
damiq,Female nickname; from Damasa
damlaq,Honor; damonyo/ demonyo; devil. San gin
damulag,Carabao; harsh person
damusak,Step on
damut,See dictionary entry
dangal,Honor; honesty; to honor someone
dangkal,Finger and finger; something with dangkal; dangkal
danum,Water; body of water; ocean; to water something
danup,Hunger; starvation; to make hungry
dapaq,See dictionary entry
dapat,Apology; excuse; water. ocean; body of water; water something; ranum; hunger. starvation; dumanup; make hungry; honor; honesty; honor someone; finger and finger; something with dangkal; dangkal; lie flat; with face down; lying flat; should; ought rights; duties; obligations; business; affairs; concern. result of deed; take care of something; dapat
dapdap,Balete tree; home of diwataq
dapot,However
dapu,Crocodile. tulang dapu kind of dragonfly which is found at rivers
dapug,Daput/ dapot
dapuk,Crocodile. tulang dapu kind of dragonfly which is found at rivers; dinapuk put inside; dapuk
dara,See dictionary entry
daragis,(V./.) constipated; have difficulty in
darak,Trash (e.g. leaves and other yard sweepings); sweep up trash; dapug; dadaraq thresh; daraq; daran thresh something; aunt; stepmother. (V./.) aunt and niece/nephew; darak konu
daraq,Dadaraq thresh; daraq; daran thresh something
das,Reach; arrive
dase,Woven; used for sleeping; old ones are used for drying rice; dase. be on
dasyunan,Ration; apportion; deliver
datang,See dictionary entry
datuq,See dictionary entry
dayap,See dictionary entry
dayaq,Arrive; come. daratang; dinatang/dintang; leader rarely used except with reference to Southern Philippines or to olden days; blood. one with same blood type; darayaq; dinayaq; rayan; matuadayaq e.g. nephew older than his uncle
dayat,Fields; ocean; Arayat. daystolik/ distolik; diastolic; blood pressure. dayuq/dayu; distance; distant; darayuq alienate; remove; dumayuq far away
de/de,Of such type: degoma; dekolor; run on/by: degasolina; dekurudu; deqayri. debati/ dibati; debate; argue; debati; topic of debate; place/topic
de:g,See dictionary entry
degla/regla,Put something in order. set in order; in ordered arrangement
dekwatru,Stand with one foot raised and resting on the other knee
deli,Female name
delikadu,Dangerous; touchy; sensitive
demanda,Take to court. subject to court hearing
den/ren,See dictionary entry
deng/reng,(CMP) plural; specific
deni/reni,See dictionary entry
depaskwa,Poinsettia flower
derit,Kind of fish net
desididu,Decided; determined
deti/reti,See dictionary entry
di/ri,See dictionary entry
digman,Water plant (seaweed?); found especially in rainy reason
digu,See dictionary entry
diki,(CMP) special plural; dike; barrier to hold back flood waters
dikut,Grass; dikut
dilaq,Dilanwaq/ dilangwaq
dilat,Tongue; fangs of snake
diliq,Something for oneself; diliq
dilo,See dictionary entry
diluq,Take bath; diluq
dimla,Nickname; from Rodrigo; tongue; fangs of snake; century banwaq); lick something. stick tongue out; stick tongue out at someone; the act of sticking ones tongue out; (Q./N.) self; you alone; the prettiest; live alone; yellow. yellowish; take bath; diluq; cold; coolness; cool; chilly; e.g. wear sweater. chill something
dimpals,Dimple(s)
din,Dinan give something dinan
dinalan,One hundred
dinamo,Generator
dinat,Dirt; human waste; dirty; dinat
dinding,Wall(s)
dine,Ashamed; shame; shyness
ding/ring,(CMP) plural; dipaningalti curse lightning strike you!; alti. direcu/ darecu straight; direct; say/do something directly; go straight; direcu; direcu betting on one number
diris/dilis,Small fish (anchovy?)
diskursu,Type of speech; diskursu
disoras,Apapadisoras to be late. distinction
disul,Kind of leaf used as poultice to draw out slivers
disyembre,December
ditak,Little; diritak become few(); ritak; drink made of rum; 7-up; and juice
diwataq,Spirits; said to live in dapdap
do,See dictionary entry
dok,Evil; badness
doktor,Doctor
duag,Coward. duat/duwat; kind of fruit; duhat
dub,See dictionary entry
dugpa,Carve; make carvings; make up; dinukit; dukit; crouch; bend.. balikuku; baluktut bend something; alight; land strike (as; butterfly on flower; water on person). dinugpa/digpa; curse lightning strike you!
dukit,Carve; make carvings; make up; dinukit; dukit
dukuq,See dictionary entry
dulang,See dictionary entry
duldul,Thunder; (?lightning?); Usually this word is used in curses; as: dipaning alti!
duling,Person sometimes used as nickname; duling
duluk,Table or platform; more like large tray; placed on for eating dudulang be flat(?); thunder; duduldul; nuldul. person sometimes used as nickname; duling. burned (e.g. overcooked rice); duluk
dumalaga,Female animal; e.g. which has not yet laid an egg
duman,Pounding rice sometimes to the accompaniment of. bay??
duminggu,Sunday. (D./Q.) weekly
dungan,See dictionary entry
dungis,See dictionary entry
dunguq,See dictionary entry
dungus,Port; depot; space behind house; stain; blemish (on face); dishonor; marungis/mandungis; timid; dumb; stomach
duraq,Spit; saliva
duray,Female nickname; from Dorotea
durun,Locust
durung,Very small shrimp
duruq,Duruq; for something
durut,Handle; crank; thing to turn with
dusa,(n)/ dusa
dusing,See dictionary entry
dutung,Whirlpool; vortex. crank; dudurut whirl; spin around; durut; punishment; curse of on child dusan; rusa; rusan; tree; lumber; wood; gather firewood; dutung have tree cut; have another gather firewood
duwalaq,Mysterious
duwang,Hand something to another
dwendi,Dwarf; fairy
dwiq,Fish spines; bones; stuck with spine
dyos/diyos,God. spuq: Diyos puq greeting; what one says to announce his presencelike Americans knock on door
e,Bother; worry. usually distributive; Dont worry
ebun,Lay eggs
edad,Also female nickname; from Natividad; all sorts variety
eklipsi,Eclipse
ekus/ecus,Effeminate; homosexual; This be an example of baligtad speech; derived from syoki
elatina,See dictionary entry
eljin,See dictionary entry
elu,See dictionary entry
ema,Elgin watch); serious case of veneral disease; crab (black colored)
emut,Root(s); yamut. endredus/; gossip. endredista gossip
eneru,January
epidemya,Epidemic
eran,Ladder; stairs. ermitenyo/ ermitanyo
eskupeta,Hermit; anchorite; air rifle used in some dialects as elsewhere; as eskwela/; school; go to school
ester,Female name. -ester an ornamental plant which has no roots
esus,Female name. -ester an ornamental plant which has no roots; Jesus; yasus call on Jesus; susmariyosep!
eyustakyu,Name; Eustaquio; nickname
ga:rungan,Bangus at stage of growth larger than biniq but smaller than adult
gabak,(N./D./.) tear
gabun,Earth; soil; dirt
gadgad,See dictionary entry
gadtuq,(N./D./.) tear; earth; soil; dirt; croak; roar (like an animal). roar at someone; (D././V.) attached; be related; swarm together; cooked with too little water; gadtuq
gagaq,See dictionary entry
gagu,Stupid; talk nonsense. gainduq/ genduq (*agal; *pagal)
gakgak,Croak; roar (like an animal). roar at someone
galang,Probability
galgal,Gagalgal shiver; tremble
galiguq,Corns; calluses
galikgik,Gagalikgik squeak; creak
galo,Motion; restless motion; disturbance; fidgety; gagalo; galo
galudgud,Backbone; spine
galunggung,Shiver; tremble (with cold). gagalunggung; ginalunggung
gamat,Hand sometimes used to lower arm in general; eat with hands; have someone eat with his hands
gambul,Cultivate
gamit,Use. gagamit; ginamit; gumamit; gamit
gampaq,(V./.) done because of some reason
gamus,Scratch; plow; rake; ginamus; gamus; plowed
gana,See dictionary entry
ganakaq,Scratch; plow; rake; ginamus; gamus; plowed; appetite; having an appetite; virtuous; kind; thoughtful; ganakaq remind; give someone hint; be worried about; consider; remind; suggest; worry about; miganakaq/migaganakaq dread; worry; anxiety; warning
ganap,Finished; complete. can be finished; finish something; accomplish something
gandus,Gabi plant. gandusgandus
ganing-aldo,Dawn; early in the morning; be an early bird
gansa,See dictionary entry
gapang,Crawl. gagapang; ginapang; gumapang; crawl to someplace this; when used in discussion of sexual activity; refers to stealing; i.e. sneaking into house at night and having with sleeping girl; gapang
gapas,As in harvesting rice; gapas; the tool used for
gapis,See dictionary entry
gapus,As in harvesting rice; gapas; the tool used kind of banana; binder; fetters; chain; gagapus be bound; tied. ginapus; gapus
garadu,Thermometer. degaradu prescription lenses
garapun,Container; e.g. glass jar
gareta,See dictionary entry
garosa,Sled; farmers cart with wooden runners rather than wheels
gas,Cyanide poison used on fish; lantern; valve
gasgas,Slash; scratch; footpath; scratched
gaslo,Dowdy; vulgar
gasolina,Gasoline; fuel
gaspang,Coarse; rough
gastus,Expense; spend; expend. ngastus
gatal,Expense; spend; expend. ngastus
gatang,Ganta; of abyas
gatas,Vendor; gatas; an animal; lactating
gatpanapun,Afternoon
gatu,Tripod jack
gawa:gawaq,Pretend; falsify
gawaq,Tripod jack; gawaq; ginawaq; gewa; gumawaq; gawan; make something for someone
gawiq,(N./.) habit; custom
gayad,Net used in fishponds for catching the smaller
gayak,(N./.) habit; custom; decorate; dress up fancily. gagayak; gayak; one decorated the same; be dressed fancily; gayak very fancily decorated
gayuma,Love potion
gege,Gegege speak in manner said to be characteristic of those living along the river
genduq,See dictionary entry
gera,War. civil war; family or spat
gerilya,See dictionary entry
gigit,See dictionary entry
gigut,War. civil war; family or spat; guerrilla; gigigit gnash teeth; chew; break seeds open with teeth
gilagid,Gums (of teeth)
gilid,The edge; in danger; back; tagilid face sideways. tatagilid; side; edge
giligit,See dictionary entry
giling,Slice; gigiliq; giliq; edge; brim; brink; side; be on the brink; almost overflowing; be on the brink of tears; have diarrhea; nggiligit trembling; tense with anger; grind. gigiling; wheel; potters)
giliq,Slice; gigiliq; giliq
gintu,See dictionary entry
ginu,Title of respect given boss; Apung Ginu the Lord (Jesus Christ); ginu
girimil,Carpenters tool; made of wood and used for thicknesses
giripu/gripu,Faucet; spout on pump; well
gisan,Used up; consumed; gisan
gisantis,See dictionary entry
gising,Awake; gising
gitara,See dictionary entry
giting,See dictionary entry
giya,See dictionary entry
gogo,Large tree; the bark of which is used for shampoo
goma,See dictionary entry
gosu,Awake; gising; guitar; strangled; or circulation cut off by tight bind; steering; guide book; starch; shampoo; kind of tree; rubber; things made of rubber as tires; rubber bands. degoma made of rubber; kind of carolingthe singing of religious songs on the eve of religious/secular feasts such as All Saints Day and the barrio fiesta
gubat,Forest; overgrown fields. forest; fields
gubyernu,Government
gugu,Large tree; the bark of which is used for shampoo
gugupuq,Feeble
gulis,Line; stripe; ginulis planned; blueprinted; diagramed
gulisak,Shout. gugulisak; ginulisak
gulu,See dictionary entry
guluk,Line; stripe; ginulis planned; blueprinted; diagramed; shout. gugulisak; ginulisak; trouble; disturbance; troublesome; disturbing; disturbed; in disarray; preventative taken; e.g. as one is about to fight; one first sticks the knife into the ground; adams apple
gulut,Back (person; hand; house); with back turned
gunting,Scissors; gunting
guramiq,See dictionary entry
gutliq,Kind of skin eruption; said to be caused by dirt; gutliq
guyud,See dictionary entry
gwantis,Scissors; gunting; guramy; kind of fish; thought locally to be Japanese in origin but actually from Java by the Americans; script by the Japanese government; kind of skin eruption; said to be caused by dirt; gutliq; kind of rope; craving; drag something; gloves (sometimes socks with holes made for the fingersused during harvesting). railing (of stairs); (e.g. line up in size like stairs)
gwenabaya,Fruit with spines; has seeds and taste. halimulmul; fuzz; lint on cloth
hambug,Able to boast
hapihapi,Have good time (Eng. happy)
hilut,Hwebes/ huwebes; Thursday. qabsiq/ absiq
ibat,Urine; urinate; (N./V.) origin; source; come starting just came afterwards; then
ibe,Dizzy. ibie/ibye; give; (i)babye; binye; bibye; ibpaq/ /- qibug
igiq,Nickname for
iglip,See dictionary entry
igpit,Drowsy; dozing off; something; special enclosure in fishponds (stage after the nursery)
iguq,Round woven basket; 2-3 in depth; used in winnowing rice; Tagalog
igwa1,(Q./V./.) equal (used especially in arithmetic)
ika,Responsibility; warning; concern as: you are in charge; you decide. doesnt; warn someone about something; give one responsibility; the government
ikab,See dictionary entry
ikami,Father (somewhat formal). Our Father (Lords prayer); be accustomed to something; have taste for something; enter (go up the ladder) house; -up stage in courtship); short form; belch; we (not address); alternates short form: kami/
ikat,Braid; yikat; braiding
ikiq,Tail; having tail; saw something; other regularly; someone
ila,See dictionary entry
ili,Joke; wisecrack
ilib,They; short:. laugh; roofs of cogon grass seen on trip to Olongapo; /talayib
ilig,Have taste bend something
ilug,River. the river
ilut/hilut,Curer (specialist sprains; bone setting); have something treated by hilut. imbis/ (Q./Prep.) of
imbudu,Funnel
impis,Thin
imuq,Wash face; washed; imut/qimut stingy
imut,Stingy. /-
ina:yinak,Godchild
inata,(plants growing under water). / (V./.) rest
indam,Dam. indu/indaq; mother
inete,One who tends horse or carabao; jockey
ing,(Subcombiner) later; and then; so. often combined with uling; as: anyaq; bisang uling asan tuyuq; And so thats why you dont want to eat at our house because our course is dried fish
ingat,Ingkung/
inge/ingi,(CMP) singular; topic or emphasized noun phrase. beware; watch out treasurer; grandfather; noise; be noisy; discuss something to out problem
ini,This
inip/inep,Dream; lonely; daydreaming
insayuq,Practice
intindi,Understand
inudoru,Toilet
inum,Drink; drinking jar
inyad,See dictionary entry
ipan,Hole. busbus cavity; busbus arung nostril; busbus butunis button hole; bore; poke hole(s)
ipas,See dictionary entry
ipe,Tooth. filed teeth; cockroach; menipe/minipe
ipil,Kind of hardwood tree
ipuqipu,Whirlwind; cyclone
ipus,Servant
iq,See dictionary entry
irap,Servant; eyelash; wink at someone
isak,Small
isek,See dictionary entry
isik,See dictionary entry
isip,Chinese; having Chinese; think; yisip; one who thinks the same
isis,Scrub house
iskilador,Barbers clippers ()
iskuq,Nickname; from Francisco
iskwalaq,Carpenters tool
islang,Accent
ispada,Of the suit on monte cards; bastus
ispasol,Cake; bread (made of rice). putu seko; putu sulut; putu bumbung; putu; pututpanara
ispoil,(Eng. spoil)
istaka,One of the suits of cards in the game of monte; treat; delicacy; such as candya rather dry sort of (Eng. spoil); stake; as bamboo stakes around plant to protect; nipa branches lined up in fishpond to prevent lumot from being disturbed by wind; inistaka/
istetsayd,(Eng. stateside)
istorya,Story; history. istung/ ustung
ita,See dictionary entry
itaq,See dictionary entry
itcura,When; that; thigh; the place where legs join trunk; appearance. deqitcura; recognize someone; ugly)?
itu,Son generally term of address used by an adult to boy; not necessarily his own son
ituq,Catfish or carp
ja:,Asking for
jakiston,Jacks young girls game). jami/ dayami; bundle of cut; about 25 contained
janwari,January used beside Enero
jeli,See dictionary entry
jeta,See dictionary entry
jip,Jack (tool for raising vehicle); get covered or with ants
ju,Contest; named after the first poet and dramatist; Juan Crisostomo Soto; engage in
jun,Jelly. (N./V.) diet; jeep; ride jeep; nickname; from Honorio; from Junior
ka,Bother; worry. usually distributive; Dont worry
ka:cap,(Eng. catch up). understand; grasp
kabag,Kind of bat
kabaldugan,Significance; have
kabambangan,Barrio of Bacolor which in the town proper
kabangal,Counterpart; one of saluq spouse
kabaq,Triangle
kabaret,Counterpart; one of saluq spouse; cabaret; nightclub dance hall; go to cabaret
kabasa,Acquaintance
kabaung,See dictionary entry
kabayu,In put someone in horse. sawhorse; ride horseback on person; give horseback ride
kabesa,Head (in figurative sense); leader. capitol; sit at the head of the table
kabisadu,Adept; skilled
kabisera,Capitol
kabit,Attach; bitan; wife
kablas,Echo; revenge
kabli,Electric wires; cable; other wire. cablegram
kabud,Next day; until the next day; held (e.g.) busy overnight; unexpectedly; unannounced; syntactically comparable to agad
kabukasan,Tomorrow. the next day; put off till tomorrow; overnight; spent the night
kabyus,Go askew
kadena,Stutter. stutter repeatedly; conducive to stuttering; deaf; apakaklak; chain; chain something
kadwaq,Second
kagliq,See dictionary entry
kago,Kind of (flea; tic?)
kai,Nickname; from Arcadio; have sexual funny word; is conceiving i.e. is in first two months of pregnancy; crave something while conceiving; kind of (flea; tic?); -who/-mean; like -how; in -such state; potang future; able to do
kaju,See dictionary entry
kakak,Stutter. stutter repeatedly; conducive to stuttering
kakaq,Older brother
kaklak,Deaf; apakaklak
kalahi,Species
kalaldo,See dictionary entry
kalale,Hot season; spend the summer; alalay-. be careful
kalamangge,Vegetable
kalame,Sweets; dessert
kalamnan,Contents; table of contents
kalampag,Tapping noise; noisy; has lots of tapping
kalamunding,Calamansi; citrus fruit
kalang,State of being in heat; stove; place where the cooking fire is charcoal stove; cooking place; stones which hold pot over the fire; sit or squat with two others; in the same positions as the pot stones
kalangan,See dictionary entry
kalat,Scatter
kalbag,Swelling; lump. (./V.) swell; (also used of hose used to check levels in carpentrywater and air bubble)
kalbit,Scatter; swelling; lump. (./V.) swell; (also used of hose used to check levels in carpentrywater and air bubble); pressure
kalbro,See dictionary entry
kalderaq,Carbide (used for lighting fishing lanterns and also as explosive in bamboo cannons); storage place and equipment in of sugar extracting
kaldero,Large cooking pot
kalendaryu,Calendar; schedule
kalesa,Carriage; ride calesa; calesas in place
kalgarita,Stew; usually with dog or goat as the (quite spicy)
kalikubak,Dandruff
kalingkingan,Little finger
kalingwan,Forget
kalis,Cut (hairas scraping carcass; grass; cane)
kalugkug,See dictionary entry
kaluguran,Friend; sweetheart; love someone
kaluluq,Chug; rumble (e.g. jeep motor; hungry stomach); friend; sweetheart; love someone; poor person; ngakaluluq very poor
kaluq,Pulley
kalyu,Corn; callus; get calluses
kamacili,Kind of edible plant
kamagqa:nak,Relatives; family relationship; posing as relatives
kamalig,Storehouse
kamamaluq,Deadly snake; black or in color (cobra?)
kamandag,Venom; venomous
kamangyang,String beans
kamansiq,Citrus fruit
kamaruq,Kind of cricket; eaten fried or cooked with tomatoes
kamauq,See dictionary entry
kambal,Twin; we are wearing clothes
kambing,See dictionary entry
kambubulag,Small moth which damages rice and sugar cane
kambyu,Gears; gearshift; railraod switch
kami,Twin; we are wearing clothes
kampanaq,See dictionary entry
kampil,Gears; gearshift; railraod switch; we (excluding person spoken to); church bells. bell tower; ring church bells; kind of suman wrapper. long Moro knife
kampit,See dictionary entry
kampu,See dictionary entry
kamuti,See dictionary entry
kan,Base (e; Clark Field). cemetery; an edible tuber; cassava; food; ngan thing eaten; feed someone
kanal,Canal; ditch; fell in ditch; have ditch dug
kanatba,Other side; across; opposite
kandaba,Candaba (the name of both town and large swamp in
kandatuq,Yellow and black spider found in trees
kandidatu,Political candidate; candidate for election
kandilaq,Candle
kandung,Carry in lap. put someone in lap
kanduruq,Yellow and black bird
kandut,Twisting motion
kaninu/ke:nu,Substitute) whose?
kanita,See dictionary entry
kantero,Singer
kantu,See dictionary entry
kanu,See dictionary entry
kanuq,Corner; stand around on the corner; (Adjunct: discourse reportative; i.e. is said; they said; he said; seemed; (i.e. does not Negroes)
kanuwan,Forehead; skull
kanyan,Like that
kanyu,See dictionary entry
kanyun,Cannon
kap,Lamp (deep
kapa:makan,Humility; abjectness
kapad,See dictionary entry
kapal,Good thing; appropriate; fitting; suited; at ease thickness; thick; wide; lupaq; make something thick
kapamuq,Just moment; wait second
kapatad,Kapayaq/
kape,See dictionary entry
kapilan,When?. never
kapis,See dictionary entry
kapit,Together; type of banana; grows with the fruit bunched together; be close to someone; especially to one in power
kapitan,Kapitangang- bengi; stayed up until
kapitnaq,See dictionary entry
kaplin,See dictionary entry
kapoti,Raincoat or jacket; wearing
kapri,See dictionary entry
kaputul,Cufflinks; raincoat or jacket; wearing; spirit; said to be tall; black; smoking cigars; and appearing at night; sibling. companion in being cut
kaqibat,(Q./N.) afterwards
kaqikut,Tailbone; end of the spine
kaqili,See dictionary entry
kaqingin,-burn field; kaladu(w) soul
karangan,Finger distance thumb and finger
karat,Babies
karayum,Needle. kind of dragonfly
karbayd,Carbidea kind of lantern used for fishing
karburador,Carburetor
karen,See dictionary entry
karga,Those; baggage; carry
karin,Location there
karinyo,Loving; beloved; loving girl; type of banana
karta,See dictionary entry
kartilya,See dictionary entry
karug,Tremble
karuwaye,See dictionary entry
kasal,Loving; beloved; loving girl; type of banana; letter; literacy wheelbarrow; tremble; wagon; ride wedding. talakasal; civil ceremony
kasalusungan,Present
kasamak,Tenant
kasaman,See dictionary entry
kasangkapan,Tool(s); appliances
kasapunggul,Handsful
kasapwego,See dictionary entry
kasat,Tantrum; throw tantrum; in tantrum state
kasera,Boarder. ngasera
kasi,(Subcomb./Q.) because
kasiping-bale,Neighbor
kaskas,Tantrum; throw tantrum; in tantrum state; scratch; grate; thing to scratch
kasumangid,(N././D.) opposite
kasyuq,Nickname from Nicasio
kata,And thou
katandan,See dictionary entry
katat,Type of banana said to be called flay (hack?)
katawan,Kati(h); body; flesh; commit adultery
katitikal,One numb; also name of club
katmuq,Filled (of container)
katri,Lie abed
katuangan,Parent(s) going to the
katuliran,Rights
katun,Cook rice. tumun
kaul,Alphabet; kodigo; (Eng. catch up). understand; grasp; embrace
kaun/kawun,One section of fishpond; box something
kaung,Bark of dog
kawa,Large cauldron
kawag,Smallest fingerlings in fishponds
kawaniq,See dictionary entry
kawe,See dictionary entry
kaya,Similarity; Apus; You are me look like him. yapus
kayag,(V./.) be separated; go separate way; waniq; separated; bamboo; swim (primarily refers to the hand stroke); doubt; possibility; attract
kayaldawanan,Anniversary; birthday
kayan,See dictionary entry
kayapan,See dictionary entry
kayaq,See dictionary entry
kayas,Goodness; qapqap; get well; recover; whittle; yasan; whittled. need
kaymitu,Fruit)
kayu,Short. kayumanggiq/ komanggiq
ke,Brown; the of Filipinos; relative. clause (embedded sentnece functioning as attribute). Subst. Subst; portmanteau
ke:nu,See dictionary entry
keke,Put here
ken,See dictionary entry
kendi,See dictionary entry
keni,(Subs; loc) here. come here
keraklan,Usually
keraq,Substitute; locative there. abbreviated form candy. (Subs; loc) here. come here; Alt. form of whose?. resting; lying down; resting place
kesaq,See dictionary entry
kesu,See dictionary entry
ket,See dictionary entry
keta,See dictionary entry
keti,See dictionary entry
kilala,Than (in comparative construction); cheese; bite; (Subs; loc) there. (Subs; loc) there (near here). (V./.) be acquainted; recognize; make known; lightning; eyebrow; axillary hair; put on eyebrow/lash; carry baby) on ones hip
kildap,See dictionary entry
kile,Eyebrow; axillary hair; put on eyebrow/lash
kilik,Carry baby) on ones hip
kilikili,Down; small feathers or hair. bulbul hair in armpits; with abundant down; hairy; defeather; can defeather
kiling,Armpit; (of horse). kilitiq/kilikitiq; tickle in armpit
kilus,Motion; restless motion; disturbance; fidgety; gagalo; galo
kimse,See dictionary entry
kimuq,See dictionary entry
kimut,Gesture; movement; campaign; celery. unaccustomed; puppet show; movie; move around
kinabukas,(V./.) the whole night; did something all night
kingking,Motion of lower trunk; buttocks; hips; tremble; vibrate
kinis,Nibble; be stung; was nipped; stung
kinyud,See dictionary entry
kirat,Wink; slanted eyes
kirut,See dictionary entry
kisami,Ceiling. ceiling; have ceiling; having ceiling
kiskis,Friction. rice
kit,Earnings
kitig,Wink; slanted eyes; surprise; be surprised; ceiling. ceiling; have ceiling; having ceiling; friction. rice; akit; fine fish net; ngitig fish with
kitung,Nickname; Fransisco
kiyak/kyak,Make someone cry
klab,See dictionary entry
klak,See dictionary entry
klasi,Club; deaf; dull; unintelligent; class; kind; type. classmate
kodernu,Notebook
kodigo,List to be; sample ballot
kokkok,Cackle; cluck kokokkok
kolera,Cholera
komander,Commander (Huk usage); become; be commander
komanggiq,(D./N.) brown
kometa,Comet (believed to be sign of times to come: good the tail is above; bad below)
konderlos,Conde name of famous corrido
konsensya,Conscience
kontador,Electricity
kontra,See dictionary entry
konu,Antidote; countermeasure; turn two screws in opposition; oppose another; in opposition; rice; ngonu; have rice
kopas,One of the suits in the card game; monte
kopiya/kopya,Copy. copy something; copying process; duplicate
korona,Flower arrangement for death
kotse/kotci,See dictionary entry
koy,See dictionary entry
koya,Automobile; ride in car; address; for koya; elder brother
krisanta,Female name; short form: kresa
krisotan,Contest; named after the first poet and dramatist; Juan Crisostomo Soto; engage in
ku,Reach; hand something to someone. understand; cant grasp the yet
kubo,-3 type airplane
kubyertus,Silverware; eating utensils; use utensils to eat
kudjape,Writing kudradu/; square. square shape; kulakatiq/; tool used for opening luyus
kudkuran,Small used for scraping the soft from young coconuts; scrape coconut); scratch (hair; i.e. head)
kuku,Toe and finger nails. artificial fingernail; cut ones fingernails
kukuq,Toe and finger nails. artificial fingernail; cut ones fingernails; (N./V.) cough. ngukuq
kulait,See dictionary entry
kulam,Sorcery. sorcerer; the likeness of sorcerer; bewitch someone; was bewitched
kulang,Shout; yell; scream; sorcery. sorcerer; the likeness of sorcerer; bewitch someone; was bewitched; lacking; do wrong
kulangut,Nasal; snot; have head cold
kulap,Remove lice
kulapu,Mold; get moldy
kulas,Nickname of Nicolas
kulasisiq,Wife; constant female companion
kulati,Curl; twist; entwine
kulayu,See dictionary entry
kuldas,Go down; get off vehicle; platform); place to get off
kule,See dictionary entry
kulebra,See dictionary entry
kulekta,Go down; get off vehicle; platform); place to get off; color; colorful; colored; disease; sometimes has external symptoms; sometimes does not; / collect; take up collection
kuliglig,Catydid; cicada
kulkul,See dictionary entry
kulti,Ngulti soaking corns/calluses in lime solution
kulubasa,Squash; vegetable
kulul,Color of violet (color of the ube tuber)
kulung,(./V.) jailed; trapped; jail
kulupariq,Head of. burungburung
kulur/kolor,Apply color. ngulur
kulut,(./D./V.) curl(); curly
kulyat,Old name for what is now Angeles City
kumbentu,Convent; house; residence of priest
kumpas,Gesture; gesticulate
kumpil,Gesture; gesticulate; Confirmationa Catholic ceremony
kunaq,Baby bed
kundul,See dictionary entry
kuneu,(or squash?)informants call variously fruit or vegetable; eaten candied; rabbit; hunt rabbits
kunkurdyas,Concordias (name of bridge in
kunwariq,Pretend; dissimilate
kunyat,See dictionary entry
kupal,See dictionary entry
kupas,Tough; rubbery; resilient; almasiga resin (Spanish copa) semen; vaginal lubricant; fade
kupiq,Name (for dog)
kupyaq,See dictionary entry
kural,Corral; e.g
kuran,Large pot; used for cooking rice; Bakit; dadala wari Why; did you want the pot to bring me? an expression said to one who has you waiting
kurap,Cap woven hats; caps such as policemans). one who wears same hat; wear hat; wearing hat; corral; e.g; large pot; used for cooking rice; Bakit; dadala wari Why; did you want the pot to bring me? an expression said to one who has you waiting; blink eyes
kurbadu,Curved; curving
kurismaq,Hot season from February the season. (. cuaresma); Lent is coming near
kuritas,Bandaid (from Curitasthe brand name)
kursilyu,See dictionary entry
kurtina,Catholic retreat/revival movement; the organization; repent; change ones ways; i.e. join the Cursillo
kurudu,Crude oil; diesel fuel; oily; dekurudu
kurus,Cross; crucifix. kuryente/; current; electric current. tulang kind of dragonfly; electrocute; lively; full of energy; fuss; bother; fancy frills; kusina/kusinaq; separate building from the houseconsidered not of the house even when attached); ngusina/ cook; work in the
kuswelu,Be satisfied; be happy with something one has
kutang,Question
kutcaraq,Be recognized; spoon; use spoon; eat something with spoon. said in Bacolor to shovel in the dialect
kutcaron,Soup ladle
kutcintaq,Some kind of food. vendor
kuting,See dictionary entry
kutis,Be recognized
kutkut,Question. thing asked; questioning; (V./.) bury. ngutkut; just buried; cemetery; santu
kutu,See dictionary entry
kutud,Louse; something cut; section of San Fernando noted for its residents acts on Good Friday. an evil person or witch said to be able to separate upper half of body from lower and fly; kucilyu/
kuwat,See dictionary entry
kuyad,Tableknife; Rita dialect; according to Bacolor; short; not long
kwaliq,See dictionary entry
kwalta,See dictionary entry
kwaq,See dictionary entry
kwaq/kuwaq,Take; yakwaq; act of getting. kwakuq/ sikwakuq
kwelyu,Smoke; frying; money; single coin. source of wealth; rich; wealthy; bamboo; collar; ngwelyu collar someone
kwentu,Fable; story
kwerdas,Spring; winding; wind something up
kwintas,Spring; winding; wind something up; necklace; wear necklace
kwitis,Skyrocket; fire skyrockets
kyan,See dictionary entry
kyapuq,Water lily
kyapus,See dictionary entry
laba,Wash clothes; do laundry; labada; razor. labaa/ labaqa; labaqas; labasa
labak,Lake; swamp
laban,Oppose; compete; fight against. argue; opponent; thing go oppose laban the fight promoter
labang,Carabao shed
labanus,Radish
labas,Through (in the process of leaving; going out). lalabas; linabas; labas
labatiba,Enema; give someone labentador; firecracker
labiq,Lip(s); stick lip out at someone; having big lips; excess; what is; survivor. elevent; twelve; survive something
labit,See dictionary entry
lablab,Lalabit blabber; chatter without stopping; talkative; swell up (of flames; of the surface of fishpond); lablab
labsaq,Cooked with too water. labuad/ labwad; ground; earth
labug,Blurred
labuk,Topsoil in rice
labul,Blow air into something
